"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","P1_id","P1_name","P1_hand","P1_ht","P1_ioc","P1_age","P1_rank","P1_rank_points","P2_id","P2_name","P2_hand","P2_ht","P2_ioc","P2_age","P2_rank","P2_rank_points","best_of","p1wins"
"59","2000-580","Australian Open","Hard","128","G",2000-01-17,"102179","Antony Dupuis","R",185,"FRA",26.89390828,98,406,"101675","Martin Rodriguez","R",178,"ARG",30.0807666,119,330,"5","Y"
"60","2000-580","Australian Open","Hard","128","G",2000-01-17,"101086","Ronald Agenor","R",180,"USA",35.17590691,94,427,"103018","Max Mirnyi","R",196,"BLR",22.53251198,67,588,"5","N"
"61","2000-580","Australian Open","Hard","128","G",2000-01-17,"103250","Rodolphe Cadart","L",183,"FRA",21.44284736,217,152,"102905","Stefan Koubek","L",175,"AUT",23.03901437,43,799,"5","N"
"62","2000-580","Australian Open","Hard","128","G",2000-01-17,"103498","Marat Safin","R",193,"RUS",19.97262149,23,1186,"101917","Grant Stafford","R",188,"RSA",28.64339494,472,46,"5","N"
"63","2000-580","Australian Open","Hard","128","G",2000-01-17,"101969","Orlin Stanoytchev","R",185,"BUL",28.31485284,109,356,"101888","Daniel Vacek","R",190,"CZE",28.79671458,44,786,"5","N"
"64","2000-580","Australian Open","Hard","128","G",2000-01-17,"102338","Yevgeny Kafelnikov","R",190,"RUS",25.91101985,2,2915,"102533","Jens Knippschild","R",190,"GER",24.91991786,85,452,"5","Y"
"65","2000-580","Australian Open","Hard","128","G",2000-01-17,"102854","Sjeng Schalken","R",193,"NED",23.35660507,47,728,"101736","Andre Agassi","R",180,"USA",29.71937029,1,4135,"5","N"
"66","2000-580","Australian Open","Hard","128","G",2000-01-17,"101889","Todd Woodbridge","R",178,"AUS",28.79397673,204,166,"103151","Mariano Zabaleta","R",183,"ARG",21.88364134,33,936,"5","N"
"67","2000-580","Australian Open","Hard","128","G",2000-01-17,"102776","Andrew Ilie","R",180,"AUS",23.74811773,46,732,"102562","Jiri Novak","R",190,"CZE",24.82409309,37,841,"5","Y"
"68","2000-580","Australian Open","Hard","128","G",2000-01-17,"102882","Mark Philippoussis","R",196,"AUS",23.19233402,19,1258,"103171","Raemon Sluiter","R",185,"NED",21.76317591,166,221,"5","Y"
"69","2000-580","Australian Open","Hard","128","G",2000-01-17,"102765","Nicolas Escude","R",185,"FRA",23.78918549,34,877,"101990","Richard Krajicek","R",196,"NED",28.11498973,10,1717,"5","Y"
"70","2000-580","Australian Open","Hard","128","G",2000-01-17,"102233","Leander Paes","R",178,"IND",26.58453114,137,277,"103714","Andreas Vinciguerra","L",180,"SWE",18.90759754,99,405,"5","N"
"71","2000-580","Australian Open","Hard","128","G",2000-01-17,"102271","Hicham Arazi","L",175,"MAR",26.24503765,41,800,"102966","Fredrik Jonsson","R",193,"SWE",22.80629706,123,313,"5","Y"
"72","2000-580","Australian Open","Hard","128","G",2000-01-17,"101774","Todd Martin","R",198,"USA",29.52772074,9,1753,"102950","Fernando Vicente","R",180,"ESP",22.86105407,55,694,"5","N"
"73","2000-580","Australian Open","Hard","128","G",2000-01-17,"101948","Pete Sampras","R",185,"USA",28.43258042,3,2419,"102025","Mikael Tillstrom","R",185,"SWE",27.86858316,79,506,"5","Y"
"74","2000-580","Australian Open","Hard","128","G",2000-01-17,"101820","Marc Rosset","R",201,"SUI",29.19370294,45,778,"102286","Wayne Black","R",170,"ZIM",26.17385353,151,246,"5","N"
"75","2000-580","Australian Open","Hard","128","G",2000-01-17,"101185","Mark Woodforde","L",188,"AUS",34.31622177,126,301,"102644","Franco Squillari","L",183,"ARG",24.40520192,48,723,"5","N"
"76","2000-580","Australian Open","Hard","128","G",2000-01-17,"101792","Slava Dosedel","R",183,"CZE",29.42642026,64,603,"103387","Paradorn Srichaphan","R",185,"THA",20.59411362,102,393,"5","Y"
"77","2000-580","Australian Open","Hard","128","G",2000-01-17,"102450","Tim Henman","R",185,"GBR",25.36344969,13,1507,"102783","Rainer Schuettler","R",180,"GER",23.72895277,60,652,"5","Y"
"78","2000-580","Australian Open","Hard","128","G",2000-01-17,"102422","Michael Hill","R",188,"AUS",25.54962355,238,140,"103206","Sebastien Grosjean","R",175,"FRA",21.63723477,26,1117,"5","N"
"79","2000-580","Australian Open","Hard","128","G",2000-01-17,"102162","Chris Woodruff","R",188,"USA",27.03901437,56,689,"102872","James Sekulov","R",180,"AUS",23.26078029,133,281,"5","Y"
"80","2000-580","Australian Open","Hard","128","G",2000-01-17,"101735","Richard Fromberg","R",196,"AUS",29.72210815,80,479,"102809","Axel Pretzsch","R",185,"GER",23.58658453,115,345,"5","Y"
"81","2000-580","Australian Open","Hard","128","G",2000-01-17,"102437","Adrian Voinea","R",185,"ROU",25.44832307,95,420,"102287","Albert Portas","R",188,"ESP",26.17111567,91,434,"5","Y"
"82","2000-580","Australian Open","Hard","128","G",2000-01-17,"103720","Lleyton Hewitt","R",180,"AUS",18.89390828,17,1335,"102374","Alex Corretja","R",180,"ESP",25.76865161,30,987,"5","Y"
"83","2000-580","Australian Open","Hard","128","G",2000-01-17,"102035","Jonas Bjorkman","R",183,"SWE",27.81930185,76,518,"103181","Jiri Vanek","R",185,"CZE",21.73305955,153,245,"5","Y"
"84","2000-580","Australian Open","Hard","128","G",2000-01-17,"101150","Gianluca Pozzi","L",180,"ITA",34.58453114,82,465,"102796","Magnus Norman","R",188,"SWE",23.63312799,11,1655,"5","N"
"85","2000-580","Australian Open","Hard","128","G",2000-01-17,"101532","Francisco Clavet","L",183,"ESP",31.23066393,39,840,"101964","Goran Ivanisevic","L",193,"CRO",28.3449692,70,575,"5","Y"
"86","2000-580","Australian Open","Hard","128","G",2000-01-17,"102563","Thomas Johansson","R",180,"SWE",24.81861739,42,799,"101965","Wayne Ferreira","R",185,"RSA",28.3394935,53,705,"5","N"
"87","2000-580","Australian Open","Hard","128","G",2000-01-17,"102223","Karim Alami","R",185,"MAR",26.65023956,35,870,"103566","Michael Llodra","L",190,"FRA",19.6659822,263,122,"5","Y"
"88","2000-580","Australian Open","Hard","128","G",2000-01-17,"103017","Nicolas Kiefer","R",183,"GER",22.53524983,4,2184,"102494","Tomas Behrend","R",193,"GER",25.09787817,106,362,"5","Y"
"89","2000-580","Australian Open","Hard","128","G",2000-01-17,"103096","Arnaud Clement","R",173,"FRA",22.08350445,54,694,"102839","Nicolas Lapentti","R",188,"ECU",23.42778919,7,1975,"5","Y"
"90","2000-580","Australian Open","Hard","128","G",2000-01-17,"103819","Roger Federer","R",185,"SUI",18.4421629,62,620,"102466","Jan Kroslak","R",188,"SVK",25.25119781,104,372,"5","Y"
"91","2000-580","Australian Open","Hard","128","G",2000-01-17,"103507","Juan Carlos Ferrero","R",183,"ESP",19.92881588,40,807,"102133","Laurence Tieleman","R",180,"ITA",27.17316906,89,439,"5","Y"
"92","2000-580","Australian Open","Hard","128","G",2000-01-17,"101962","Younes El Aynaoui","R",193,"MAR",28.34770705,29,991,"103163","Tommy Haas","R",188,"GER",21.79055441,12,1510,"5","Y"
"93","2000-580","Australian Open","Hard","128","G",2000-01-17,"103294","Christophe Rochus","R",170,"BEL",21.08966461,120,319,"102061","Kevin Ullyett","R",178,"ZIM",27.65229295,182,190,"5","Y"
"94","2000-580","Australian Open","Hard","128","G",2000-01-17,"102179","Antony Dupuis","R",185,"FRA",26.89390828,98,406,"103018","Max Mirnyi","R",196,"BLR",22.53251198,67,588,"5","N"
"95","2000-580","Australian Open","Hard","128","G",2000-01-17,"101917","Grant Stafford","R",188,"RSA",28.64339494,472,46,"102905","Stefan Koubek","L",175,"AUT",23.03901437,43,799,"5","N"
"96","2000-580","Australian Open","Hard","128","G",2000-01-17,"102338","Yevgeny Kafelnikov","R",190,"RUS",25.91101985,2,2915,"101888","Daniel Vacek","R",190,"CZE",28.79671458,44,786,"5","Y"
"97","2000-580","Australian Open","Hard","128","G",2000-01-17,"103151","Mariano Zabaleta","R",183,"ARG",21.88364134,33,936,"101736","Andre Agassi","R",180,"USA",29.71937029,1,4135,"5","N"
"98","2000-580","Australian Open","Hard","128","G",2000-01-17,"102882","Mark Philippoussis","R",196,"AUS",23.19233402,19,1258,"102776","Andrew Ilie","R",180,"AUS",23.74811773,46,732,"5","Y"
"99","2000-580","Australian Open","Hard","128","G",2000-01-17,"102765","Nicolas Escude","R",185,"FRA",23.78918549,34,877,"103714","Andreas Vinciguerra","L",180,"SWE",18.90759754,99,405,"5","Y"
"100","2000-580","Australian Open","Hard","128","G",2000-01-17,"102950","Fernando Vicente","R",180,"ESP",22.86105407,55,694,"102271","Hicham Arazi","L",175,"MAR",26.24503765,41,800,"5","N"
"101","2000-580","Australian Open","Hard","128","G",2000-01-17,"101948","Pete Sampras","R",185,"USA",28.43258042,3,2419,"102286","Wayne Black","R",170,"ZIM",26.17385353,151,246,"5","Y"
"102","2000-580","Australian Open","Hard","128","G",2000-01-17,"101792","Slava Dosedel","R",183,"CZE",29.42642026,64,603,"102644","Franco Squillari","L",183,"ARG",24.40520192,48,723,"5","Y"
"103","2000-580","Australian Open","Hard","128","G",2000-01-17,"102450","Tim Henman","R",185,"GBR",25.36344969,13,1507,"103206","Sebastien Grosjean","R",175,"FRA",21.63723477,26,1117,"5","Y"
"104","2000-580","Australian Open","Hard","128","G",2000-01-17,"101735","Richard Fromberg","R",196,"AUS",29.72210815,80,479,"102162","Chris Woodruff","R",188,"USA",27.03901437,56,689,"5","N"
